ap_1,ap_2,ap_3,ap_4,ap_5,ap_6,ap_7,ap_8,ap_9,ap_10,ap_11,ap_12,ap_13,ap_14,ap_15,ap_16,ap_17,ap_18,ap_19,ap_20,ap_21,ap_22,ap_23,ap_24,ap_25,ap_26,ap_27,ap_28,ap_29,ap_30,ap_31,ap_32,ap_33,ap_34,ap_35,ap_36,ap_37,ap_38,ap_39,ap_40,ap_41,ap_42,ap_43,ap_44,ap_45,ap_46,ap_47,ap_48,ap_49,ap_50,ap_51,ap_52,ap_53,ap_54,ap_55,ap_56,ap_57,ap_58,ap_59,ap_60,ap_61,ap_62,ap_63,ap_64,ap_65,ap_66,ap_67,ap_68,ap_69,ap_70,spot
,,-26.0,,-60.0,,-77.0,,,-69.0,,-48.0,,-33.0,,-66.0,-62.0,-75.0,-69.0,,,-62.0,,-78.0,,,,,,,,,,,-74.0,,,-86.0,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang Developer_L2
,,-67.0,-79.0,-23.0,,-88.0,,,,,,-72.0,-72.0,,,-76.0,-34.0,,-63.0,,,,,,-57.0,,,-52.0,-42.0,,,-56.0,-54.0,,-64.0,,,,-69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorong_L3
,,-66.0,,-27.0,,,,,,,-74.0,,-75.0,,,,-28.0,,,,,,,,-50.0,,,-51.0,-47.0,,,-54.0,-52.0,,-60.0,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorong_L3
,,-65.0,,-23.0,,,,,,,,-75.0,,,,-78.0,-28.0,,-64.0,,,,,,-57.0,,,-54.0,-46.0,,,-56.0,-47.0,,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorong_L3
-80.0,-81.0,,,-71.0,,,,,,,,,,,,,-86.0,,,-74.0,,,,,-61.0,,,-82.0,-68.0,,,-55.0,-43.0,,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-59.0,,,,,,,,,,,-51.0,,-72.0,,,,,-80.0,-73.0,,-37.0,,,-48.0,-51.0,,,-53.0,-52.0,,-39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-62.0,,,,,,,,,,,-49.0,,-74.0,,,,,-76.0,-73.0,,-34.0,,,-62.0,-51.0,,,-68.0,-58.0,,-46.0,,,,,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,,,,,,,,-74.0,,,,-70.0,,-71.0,,,,,,,,-29.0,,,-60.0,-52.0,,,-44.0,-48.0,,-35.0,,,,,,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-57.0,,,,,,,,,,,,,-65.0,,-74.0,,,,,,-23.0,,,-53.0,-46.0,,,-47.0,-42.0,,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
-78.0,,,,-74.0,,,,,,,,,,,,,-76.0,,,-71.0,,,,,-63.0,,,-81.0,-74.0,,,-59.0,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-55.0,,,,,,,,,,,,,-69.0,,,-75.0,,,,,-48.0,,,-63.0,-51.0,,,-30.0,-23.0,,-56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-53.0,,,,,,,,,,,,,-61.0,,,,,,,,,,,-53.0,-50.0,,,-25.0,-17.0,,-52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-36.0,,,,,,,,-79.0,,,,,-45.0,,,,,,,,-46.0,,,-42.0,-40.0,,,-40.0,-35.0,,-44.0,,,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-46.0,,,,,,,,,,,,,-58.0,,,,,,,,-45.0,,,-39.0,-25.0,,,-55.0,-44.0,,-53.0,,,,,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,-81.0,,-53.0,,,,,,,,,,,,,-55.0,,,,,,,,-36.0,,,-35.0,-19.0,,,-62.0,-53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-54.0,,,,,,,-81.0,,,,-66.0,,-49.0,,,,,-81.0,-84.0,,-36.0,,,-31.0,-24.0,,,-55.0,-44.0,,-47.0,,,,,,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-57.0,,,,,,,-81.0,,,,-68.0,,-67.0,,,,,-84.0,-84.0,,-41.0,-78.0,,-43.0,-36.0,,,-46.0,-44.0,,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
-86.0,,,,-73.0,,,,,,,,,,,,,-77.0,,,-80.0,,,,,-54.0,,,-71.0,-67.0,,,-50.0,-51.0,,-61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L3
,,,,-83.0,,,,,,,,-40.0,,,,,-86.0,-86.0,-40.0,-60.0,,,,,-79.0,-55.0,-56.0,,,-63.0,-57.0,,,,-97.0,-85.0,-92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorong_L4
,,,,,,,,,,,,-53.0,,,,,,,-52.0,-57.0,,,,,,-61.0,-62.0,,,-81.0,-64.0,,,,,,-90.0,,,-91.0,-80.0,,,,-81.0,,,-96.0,,,,-92.0,,,,,,,-89.0,,,,,,,,,,,Lorong_L4
-44.0,-53.0,-79.0,-64.0,,-75.0,,-70.0,-69.0,,-60.0,-66.0,,-78.0,,-80.0,-78.0,,-54.0,,,-82.0,,-84.0,,,,,,,,,,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorong_L4
,,,,-74.0,,,,,,,,-48.0,,,,,,,-41.0,-52.0,,,,,-80.0,-53.0,-48.0,,,-51.0,-51.0,,-77.0,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorong_L4
,,,,-80.0,,,,,,,,-40.0,-94.0,,,,-86.0,,-31.0,-61.0,,-84.0,,,,-59.0,-62.0,,,-77.0,-64.0,,,,,-80.0,-92.0,,-79.0,,,,,,-84.0,,,,,,,-95.0,,,,,,,,,,,,,,,,,,Lorong_L4
,,,-88.0,-84.0,,,,,,,,-71.0,,,,,,-93.0,-68.0,-29.0,,,,,,-63.0,-68.0,,,,,,,,,-79.0,,,,-95.0,-82.0,,,,,,,,,,,-94.0,,,,,,,,,,,,,,,,,,Perpustakaan_L4
,,,,,,,,,,,,-59.0,,,,,,,-62.0,-47.0,,,,,,-47.0,-49.0,,,-68.0,-63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L4
,,,,,,,,,,,,-63.0,,,,,,,-57.0,-54.0,,,,,,-40.0,-44.0,,,-71.0,-66.0,,,,,,,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L4
,,,,,,,,,,,,-66.0,,,,,,,-70.0,-51.0,,-75.0,,,,-49.0,-31.0,,,-67.0,-64.0,,,,,,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perpustakaan_L4
